specimen_id,height_i,height_h,height_r
062723-MOHK-012-H,25.3/23.7,21.2/22.9,22.7/25.1
062723-MOHK-012-I,28/26.2,23.5/25.2,25.5/27.6
062723-MOHK-012-J,22,21.2,22.3
062723-MOHK-012-H,28.8,26.5,28.3
062723-MOHK-012-G,12.7,12.4,12.6
062723-MOHK-018-F,21,19.2,20.3
071123-NAPL-023-A,16.5,15.6,16
071123-NAPL-022-A,12.9,12.2,13.1
062723-MOHk-007-H,21.8,20,21.4
062723-MOHk-007-I,8.7,8,8.7
062723-MOHk-007-J,36.2/30.1,30.3/3.2,30.2/3.5
062723-MOHk-012-F,11.9,10.6,11.4
062723-MOHk-012-I,16.6,15.34,16.2
062723-MOHk-018-G,8.5,8,8.2
062723-MOHk-018-J,13.6,12.5,13.6
062723-MOHK-001-F,9.2,6.9,7.5
062723-MOHK-001-G,7.6,8.6,9
062723-MOHK-001-H,22.1,20,21.5
062723-MOHK-001-I,9.3,8.7,7.9
062723-MOHK-004-F,28.4,26.5,27.9
062723-MOHK-004-G,16.9,15.3,16.6
062723-MOHK-004-H,11,10.1,11
062723-MOHK-004-I,22.1/3.2,20.2/3.0,21.6/3.4
062723-MOHK-004-J,21.7/25.6,20.3/3.6,21.2/4.0
062723-MOHK-007-F,11,10.3,10.8
062723-MOHK-007-G,21.7,20.4,21.6
